"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Statistical discrepancy (income approach)",":",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Final consumption expenditure and gross capital formation","9,387,426.8",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","13,146,518.4",""
"2008","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","9,640,650.4",""
"2008","Euro area (19 countries)","Current prices, million euro","Value added, gross","8,677,708.6",""
"2008","Euro area (19 countries)","Current prices, million euro","Final consumption expenditure","7,264,082.8",""
"2008","Euro area (19 countries)","Current prices, million euro","Final consumption expenditure of general government","1,928,259.9",""
"2008","Euro area (19 countries)","Current prices, million euro","Individual consumption expenditure of general government","1,189,868.0",""
"2008","Euro area (19 countries)","Current prices, million euro","Collective consumption expenditure of general government","738,391.9",""
"2008","Euro area (19 countries)","Current prices, million euro","Household and NPISH final consumption expenditure","5,335,822.9",""
"2008","Euro area (19 countries)","Current prices, million euro","Final consumption expenditure of households","5,214,999.3",""
"2008","Euro area (19 countries)","Current prices, million euro","Final consumption expenditure of NPISH","120,823.6",""
"2008","Euro area (19 countries)","Current prices, million euro","Actual individual consumption","6,525,690.9",""
"2008","Euro area (19 countries)","Current prices, million euro","Gross capital formation","2,272,361.1",""
"2008","Euro area (19 countries)","Current prices, million euro","Gross fixed capital formation","2,216,000.0",""
"2008","Euro area (19 countries)","Current prices, million euro","Changes in inventories and acquisitions less disposals of valuables","56,361.1",""
"2008","Euro area (19 countries)","Current prices, million euro","Changes in inventories",":",""
"2008","Euro area (19 countries)","Current prices, million euro","Acquisitions less disposals of valuables",":",""
"2008","Euro area (19 countries)","Current prices, million euro","Exports of goods and services","3,851,269.7",""
"2008","Euro area (19 countries)","Current prices, million euro","Exports of goods","2,954,357.4",""
"2008","Euro area (19 countries)","Current prices, million euro","Exports of services","896,912.3",""
"2008","Euro area (19 countries)","Current prices, million euro","Imports of goods and services","3,747,063.2",""
"2008","Euro area (19 countries)","Current prices, million euro","Imports of goods","2,900,743.9",""
"2008","Euro area (19 countries)","Current prices, million euro","Imports of services","846,319.3",""
"2008","Euro area (19 countries)","Current prices, million euro","External balance of goods and services","104,206.5",""
"2008","Euro area (19 countries)","Current prices, million euro","External balance - Goods","53,613.5",""
"2008","Euro area (19 countries)","Current prices, million euro","External balance - Services","50,593.0",""
"2008","Euro area (19 countries)","Current prices, million euro","Compensation of employees","4,517,607.2",""
"2008","Euro area (19 countries)","Current prices, million euro","Wages and salaries","3,506,531.1",""
"2008","Euro area (19 countries)","Current prices, million euro","Employers' social contributions","1,011,076.1",""
"2008","Euro area (19 countries)","Current prices, million euro","Operating surplus and mixed income, gross","4,074,321.2",""
"2008","Euro area (19 countries)","Current prices, million euro","Taxes on production and imports less subsidies","1,048,722.1",""
"2008","Euro area (19 countries)","Current prices, million euro","Taxes on production and imports",":",""
"2008","Euro area (19 countries)","Current prices, million euro","Subsidies",":",""
"2008","Euro area (19 countries)","Current prices, million euro","Taxes less subsidies on products","962,941.9",""
"2008","Euro area (19 countries)","Current prices, million euro","Taxes on products",":",""
"2008","Euro area (19 countries)","Current prices, million euro","Subsidies on products",":",""
"2008","Euro area (19 countries)","Current prices, million euro","Statistical discrepancy (production approach)",":",""
"2008","Euro area (19 countries)","Current prices, million euro","Statistical discrepancy (expenditure approach)",":",""
"2008","Euro area (19 countries)","Current prices, million euro","Statistical discrepancy (income approach)",":",""
"2008","Euro area (19 countries)","Current prices, million euro","Final consumption expenditure and gross capital formation","9,536,444.0",""
"2008","Euro area (19 countries)","Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","13,387,713.7",""
"2008","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","9,437,993.2",""
"2008","Euro area (12 countries)","Current prices, million euro","Value added, gross","8,496,830.2",""
"2008","Euro area (12 countries)","Current prices, million euro","Final consumption expenditure","7,109,779.9",""
"2008","Euro area (12 countries)","Current prices, million euro","Final consumption expenditure of general government","1,891,309.0",""
"2008","Euro area (12 countries)","Current prices, million euro","Individual consumption expenditure of general government","1,171,218.7",""
"2008","Euro area (12 countries)","Current prices, million euro","Collective consumption expenditure of general government","720,090.3",""
"2008","Euro area (12 countries)","Current prices, million euro","Household and NPISH final consumption expenditure","5,218,470.9",""
"2008","Euro area (12 countries)","Current prices, million euro","Final consumption expenditure of households","5,099,346.0",""
"2008","Euro area (12 countries)","Current prices, million euro","Final consumption expenditure of NPISH","119,124.9",""
"2008","Euro area (12 countries)","Current prices, million euro","Actual individual consumption","6,389,689.6",""
"2008","Euro area (12 countries)","Current prices, million euro","Gross capital formation","2,211,388.3",""
"2008","Euro area (12 countries)","Current prices, million euro","Gross fixed capital formation","2,160,066.7",""
"2008","Euro area (12 countries)","Current prices, million euro","Changes in inventories and acquisitions less disposals of valuables","51,321.6",""
"2008","Euro area (12 countries)","Current prices, million euro","Changes in inventories",":",""
"2008","Euro area (12 countries)","Current prices, million euro","Acquisitions less disposals of valuables",":",""
"2008","Euro area (12 countries)","Current prices, million euro","Exports of goods and services","3,715,382.5",""
"2008","Euro area (12 countries)","Current prices, million euro","Exports of goods","2,854,163.9",""
"2008","Euro area (12 countries)","Current prices, million euro","Exports of services","861,218.6",""
"2008","Euro area (12 countries)","Current prices, million euro","Imports of goods and services","3,598,557.5",""
"2008","Euro area (12 countries)","Current prices, million euro","Imports of goods","2,779,172.7",""
"2008","Euro area (12 countries)","Current prices, million euro","Imports of services","819,384.7",""
"2008","Euro area (12 countries)","Current prices, million euro","External balance of goods and services","116,825.0",""
"2008","Euro area (12 countries)","Current prices, million euro","External balance - Goods","74,991.2",""
"2008","Euro area (12 countries)","Current prices, million euro","External balance - Services","41,833.8",""
"2008","Euro area (12 countries)","Current prices, million euro","Compensation of employees","4,429,893.6",""
"2008","Euro area (12 countries)","Current prices, million euro","Wages and salaries","3,435,521.8",""
"2008","Euro area (12 countries)","Current prices, million euro","Employers' social contributions","994,371.9",""
"2008","Euro area (12 countries)","Current prices, million euro","Operating surplus and mixed income, gross","3,980,808.3",""
"2008","Euro area (12 countries)","Current prices, million euro","Taxes on production and imports less subsidies","1,027,291.3",""
"2008","Euro area (12 countries)","Current prices, million euro","Taxes on production and imports",":",""
"2008","Euro area (12 countries)","Current prices, million euro","Subsidies",":",""
"2008","Euro area (12 countries)","Current prices, million euro","Taxes less subsidies on products","941,163.1",""
"2008","Euro area (12 countries)","Current prices, million euro","Taxes on products",":",""
"2008","Euro area (12 countries)","Current prices, million euro","Subsidies on products",":",""
"2008","Euro area (12 countries)","Current prices, million euro","Statistical discrepancy (production approach)",":",""
"2008","Euro area (12 countries)","Current prices, million euro","Statistical discrepancy (expenditure approach)",":",""
"2008","Euro area (12 countries)","Current prices, million euro","Statistical discrepancy (income approach)",":",""
"2008","Euro area (12 countries)","Current prices, million euro","Final consumption expenditure and gross capital formation","9,321,168.2",""
"2008","Euro area (12 countries)","Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","13,036,550.7",""
"2008","Belgium","Current prices, million euro","Gross domestic product at market prices","354,065.9",""
"2008","Belgium","Current prices, million euro","Value added, gross","317,008.8",""
"2008","Belgium","Current prices, million euro","Final consumption expenditure","261,249.7",""
"2008","Belgium","Current prices, million euro","Final consumption expenditure of general government","79,857.4",""
"2008","Belgium","Current prices, million euro","Individual consumption expenditure of general government","49,736.0",""
"2008","Belgium","Current prices, million euro","Collective consumption expenditure of general government","30,121.0",""
"2008","Belgium","Current prices, million euro","Household and NPISH final consumption expenditure","181,392.3",""
"2008","Belgium","Current prices, million euro","Final consumption expenditure of households","177,798.6",""
"2008","Belgium","Current prices, million euro","Final consumption expenditure of NPISH","3,593.7",""
"2008","Belgium","Current prices, million euro","Actual individual consumption","231,129.0",""
"2008","Belgium","Current prices, million euro","Gross capital formation","91,102.8",""
"2008","Belgium","Current prices, million euro","Gross fixed capital formation","84,885.8",""
"2008","Belgium","Current prices, million euro","Changes in inventories and acquisitions less disposals of valuables","6,217.0",""
"2008","Belgium","Current prices, million euro","Changes in inventories","6,120.2",""
"2008","Belgium","Current prices, million euro","Acquisitions less disposals of valuables","96.8",""
"2008","Belgium","Current prices, million euro","Exports of goods and services","282,176.3",""
"2008","Belgium","Current prices, million euro","Exports of goods","216,366.3",""
"2008","Belgium","Current prices, million euro","Exports of services","65,810.0",""
"2008","Belgium","Current prices, million euro","Imports of goods and services","280,462.9",""
"2008","Belgium","Current prices, million euro","Imports of goods","220,787.7",""
"2008","Belgium","Current prices, million euro","Imports of services","59,675.2",""
"2008","Belgium","Current prices, million euro","External balance of goods and services","1,713.4",""
"2008","Belgium","Current prices, million euro","External balance - Goods","-4,421.4",""
"2008","Belgium","Current prices, million euro","External balance - Services","6,134.8",""
"2008","Belgium","Current prices, million euro","Compensation of employees","178,361.3",""
"2008","Belgium","Current prices, million euro","Wages and salaries","130,163.9",""
"2008","Belgium","Current prices, million euro","Employers' social contributions","48,197.4",""
"2008","Belgium","Current prices, million euro","Operating surplus and mixed income, gross","140,797.8",""
"2008","Belgium","Current prices, million euro","Taxes on production and imports less subsidies","34,906.8",""
"2008","Belgium","Current prices, million euro","Taxes on production and imports","45,869.9",""
"2008","Belgium","Current prices, million euro","Subsidies","10,963.1",""
"2008","Belgium","Current prices, million euro","Taxes less subsidies on products","37,057.1",""
"2008","Belgium","Current prices, million euro","Taxes on products","39,414.2",""
"2008","Belgium","Current prices, million euro","Subsidies on products","2,357.1",""
"2008","Belgium","Current prices, million euro","Statistical discrepancy (production approach)","0.0",""
"2008","Belgium","Current prices, million euro","Statistical discrepancy (expenditure approach)","0.0",""
"2008","Belgium","Current prices, million euro","Statistical discrepancy (income approach)","0.0",""
"2008","Belgium","Current prices, million euro","Final consumption expenditure and gross capital formation","352,352.5",""
"2008","Belgium","Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","634,528.8",""
"2008","Bulgaria","Current prices, million euro","Gross domestic product at market prices","37,200.1",""
"2008","Bulgaria","Current prices, million euro","Value added, gross","31,288.3",""
"2008","Bulgaria","Current prices, million euro","Final consumption expenditure","30,795.8",""
"2008","Bulgaria","Current prices, million euro","Final consumption expenditure of general government","6,378.0",""
"2008","Bulgaria","Current prices, million euro","Individual consumption expenditure of general government","3,150.3",""
"2008","Bulgaria","Current prices, million euro","Collective consumption expenditure of general government","3,227.7",""
"2008","Bulgaria","Current prices, million euro","Household and NPISH final consumption expenditure","24,417.8",""
"2008","Bulgaria","Current prices, million euro","Final consumption expenditure of households","24,301.8",""
"2008","Bulgaria","Current prices, million euro","Final consumption expenditure of NPISH","116.1",""
"2008","Bulgaria","Current prices, million euro","Actual individual consumption","27,568.1",""
"2008","Bulgaria","Current prices, million euro","Gross capital formation","13,754.3",""
